Data,PPinv,time dummy,time fast,grid,error_abs,error_sq
MNIST,DBM (UMAP+NNInv),0.7664966583251953,1.2179412841796875,50,"[[1.21036039e-02 4.53982817e-02 4.56784036e-02 ... 6.48848154e-03
  7.40895513e-03 5.91439754e-03]
 [1.17295119e-02 5.63147333e-03 6.50084549e-02 ... 6.02353364e-03
  5.12620807e-03 4.34116274e-03]
 [8.81146987e-02 2.73797909e-03 3.73949210e-02 ... 6.49766624e-03
  3.65880132e-03 1.79691046e-02]
 ...
 [7.43329525e-04 3.01563740e-03 1.95458531e-03 ... 3.40494141e-01
  4.48934196e-01 6.49074515e-02]
 [1.00553036e-04 9.30637121e-04 1.93268061e-04 ... 4.05250763e-02
  6.88402462e-02 1.41491212e-01]
 [0.00000000e+00 3.33189964e-04 1.71372294e-03 ... 1.44713302e-01
  9.25646408e-02 1.26373819e-01]]","[[2.44114046e-04 2.46217902e-03 1.86302644e-03 ... 3.06132086e-02
  7.20109145e-03 1.91598736e-03]
 [2.36825039e-04 4.68628241e-05 3.94137390e-03 ... 5.51326244e-03
  1.59351578e-03 5.68105717e-04]
 [1.13667325e-02 1.21874990e-05 1.76158597e-03 ... 2.79063528e-03
  4.34448575e-04 5.99227990e-03]
 ...
 [8.06435214e-06 5.30276553e-05 2.46254248e-05 ... 2.25914186e+00
  1.43297014e+02 3.62445808e-02]
 [1.34303749e-07 6.69594919e-06 3.27149293e-07 ... 1.13835882e-02
  1.02225677e-01 4.80201040e+02]
 [0.00000000e+00 1.13902304e-06 3.51262066e-05 ... 1.11633628e-01
  6.65195942e-02 4.04441747e-01]]"
MNIST,DBM (UMAP+NNInv),2.732692241668701,1.4397175312042236,100,"[[0.03541058 0.01772734 0.05493937 ... 0.00184129 0.00237145 0.0006909 ]
 [0.04879274 0.01805882 0.02123106 ... 0.00175175 0.00076185 0.00186854]
 [0.03486395 0.01540303 0.00205998 ... 0.00314453 0.00211802 0.00246006]
 ...
 [0.00233937 0.00433424 0.0040016  ... 0.08355181 0.08706261 0.09893652]
 [0.00392175 0.00022346 0.00635127 ... 0.07814354 0.07500833 0.08482327]
 [0.03035507 0.00073943 0.00339688 ... 0.03511587 0.06332322 0.07761113]]","[[2.08943792e-03 4.67550663e-04 3.62243058e-03 ... 4.40092516e-04
  4.60799165e-04 2.61461639e-05]
 [4.06927662e-03 5.05495983e-04 6.06426270e-04 ... 2.66103689e-04
  3.34188328e-05 1.40577778e-04]
 [2.09415040e-03 3.86390278e-04 6.28184330e-06 ... 5.98996204e-04
  1.88246629e-04 1.83452314e-04]
 ...
 [7.26667912e-05 1.60351017e-04 1.24123598e-04 ... 1.50698689e-01
  5.59812687e-01 1.17395271e+02]
 [2.03569728e-04 4.39618245e-07 3.58079909e-04 ... 7.32023749e-02
  1.29922952e-01 5.49551181e-01]
 [1.16710237e-02 5.48445734e-06 1.18260705e-04 ... 9.62479820e-03
  5.11951595e-02 1.52542116e-01]]"
