Data,PPinv,time dummy,time fast,grid
MNIST,DBM (UMAP+NNInv),0.7248663902282715,1.1433846950531006,50
MNIST,DBM (UMAP+NNInv),2.679276704788208,1.5151827335357666,100
MNIST,DBM (UMAP+NNInv),5.909985065460205,2.095508575439453,150
MNIST,DBM (UMAP+NNInv),9.989500284194946,3.019826889038086,200
MNIST,DBM (UMAP+NNInv),15.098032712936401,3.5403995513916016,250
MNIST,DBM (UMAP+NNInv),21.759552001953125,4.091842889785767,300
