Data,PPinv,time near dummy,time near,time grad dummy,time grad,time grad_reduced,time dist dummy,time dist,threshold,error near abs,error near sq,error grad abs,error grad sq,error grad reduced abs,error grad reduced sq,error dist abs,error dist sq,GRID,num_sparse_near,num_sparse_grad,num_sparse_grad_reduced,num_sparse_dist
MNIST,DBM(UMAP+NNInv),0.2775099277496338,0.8848340511322021,0,0,0,0,0,0.1,0.09411448215315411,0.0006087357178211985,0,0,0,0,0,0,100,5485,0,0,0
MNIST,DBM(UMAP+NNInv),0.9679965972900391,1.5777850151062012,0,0,0,0,0,0.1,0.05000055269533347,0.00017320781744412745,0,0,0,0,0,0,200,26675,0,0,0
MNIST,DBM(UMAP+NNInv),2.1276650428771973,1.93849515914917,0,0,0,0,0,0.1,0.036721050469610814,9.569209612875878e-05,0,0,0,0,0,0,300,55689,0,0,0
MNIST,DBM(UMAP+NNInv),3.5619914531707764,2.208707571029663,0,0,0,0,0,0.1,0.029534766374468682,6.408758670026632e-05,0,0,0,0,0,0,400,58133,0,0,0
MNIST,DBM(UMAP+NNInv),5.592285394668579,5.508904933929443,0,0,0,0,0,0.1,0.026118753262298545,5.3118195841371625e-05,0,0,0,0,0,0,500,155188,0,0,0
MNIST,DBM(UMAP+NNInv),9.45125699043274,1.0224518775939941,0,0,0,0,0,0.1,0.023256692425395447,4.381569193729681e-05,0,0,0,0,0,0,600,22069,0,0,0
MNIST,DBM(UMAP+NNInv),13.037197351455688,6.099100828170776,0,0,0,0,0,0.1,0.02193110991008783,4.131309936189642e-05,0,0,0,0,0,0,700,171920,0,0,0
MNIST,DBM(UMAP+NNInv),16.744828939437866,1.4530258178710938,0,0,0,0,0,0.1,0.022139116018355838,4.493055941292506e-05,0,0,0,0,0,0,800,21965,0,0,0
MNIST,DBM(UMAP+NNInv),21.525824785232544,17.97160816192627,0,0,0,0,0,0.1,0.019873365752091404,3.651460222875109e-05,0,0,0,0,0,0,900,546950,0,0,0
