Data,PPinv,time near dummy,time near,time grad dummy,time grad,time grad_reduced,time dist dummy,time dist,threshold,error near abs,error near sq,error grad abs,error grad sq,error grad reduced abs,error grad reduced sq,error dist abs,error dist sq,GRID,num_sparse_near,num_sparse_grad,num_sparse_grad_reduced,num_sparse_dist
MNIST,DBM(UMAP+NNInv),0,0,0.07506227493286133,1.0129814147949219,0.16063356399536133,0,0,0.15,0,0,5.119497959594904,0.00701943019229568,6.084087208234195,0.009883246175912078,0,0,100,0,8560,8655,0
MNIST,DBM(UMAP+NNInv),0,0,0.24318337440490723,0.3294696807861328,0.36600375175476074,0,0,0.15,0,0,4.548466227232493,0.005172500695836142,5.294679462240121,0.00690154205206485,0,0,200,0,21079,20307,0
MNIST,DBM(UMAP+NNInv),0,0,0.5284051895141602,0.9327366352081299,0.8533899784088135,0,0,0.15,0,0,4.314946403939669,0.004574752915567325,4.761679588582605,0.005529279140155651,0,0,300,0,60514,58441,0
MNIST,DBM(UMAP+NNInv),0,0,0.942425012588501,1.0974149703979492,0.7883939743041992,0,0,0.15,0,0,4.128958772823491,0.004234340647943775,4.941644044405175,0.005946784175655973,0,0,400,0,74498,51957,0
MNIST,DBM(UMAP+NNInv),0,0,1.4265012741088867,2.922950506210327,2.4429197311401367,0,0,0.15,0,0,4.050210757785196,0.004139974973531701,4.2601082820498615,0.004476062654752199,0,0,500,0,194858,173837,0
MNIST,DBM(UMAP+NNInv),0,0,2.08762264251709,3.997617244720459,1.8568322658538818,0,0,0.15,0,0,3.9903294302394374,0.004066486581419702,4.600563848638814,0.005259728236855404,0,0,600,0,272991,130503,0
MNIST,DBM(UMAP+NNInv),0,0,2.662010669708252,7.228298664093018,5.309489488601685,0,0,0.15,0,0,4.037119450665224,0.004187373089279747,4.267447838166616,0.004611388386656123,0,0,700,0,470984,387880,0
MNIST,DBM(UMAP+NNInv),0,0,3.629249095916748,3.165933609008789,8.425341367721558,0,0,0.15,0,0,4.622606290056197,0.005314890429768524,4.777483459592641,0.00560975955594159,0,0,800,0,220951,628690,0
MNIST,DBM(UMAP+NNInv),0,0,4.355388164520264,11.4259033203125,3.134422779083252,0,0,0.15,0,0,4.588299212776517,0.00526370942706636,4.639698780572974,0.005253548421608697,0,0,900,0,771472,222050,0
MNIST,DBM(UMAP+NNInv),0,0,5.775773286819458,5.049299478530884,4.870094060897827,0,0,0.15,0,0,4.622592521418478,0.0053259846215652756,4.693010335144791,0.005426429559019156,0,0,1000,0,358116,357451,0
MNIST,DBM(t-SNE+NNInv),0,0,0.042772531509399414,0.14687252044677734,0.17021560668945312,0,0,0.15,0,0,4.526650403523592,0.004484129638811379,5.510366959356737,0.006942107026140373,0,0,100,0,8272,8195,0
MNIST,DBM(t-SNE+NNInv),0,0,0.16627073287963867,0.3960244655609131,0.5400691032409668,0,0,0.15,0,0,3.8393466056298085,0.0031769303524743207,4.460583191726472,0.00430658482420463,0,0,200,0,25330,32650,0
MNIST,DBM(t-SNE+NNInv),0,0,0.48221564292907715,0.75386643409729,0.7334575653076172,0,0,0.15,0,0,3.7911782277622437,0.0031854403117792607,4.18119070704476,0.003834524777913434,0,0,300,0,49116,46239,0
MNIST,DBM(t-SNE+NNInv),0,0,0.8626296520233154,1.0697314739227295,1.3611812591552734,0,0,0.15,0,0,3.632905347463835,0.0030453958453709896,3.9592500671817223,0.003455035799039199,0,0,400,0,72783,87273,0
MNIST,DBM(t-SNE+NNInv),0,0,1.3405232429504395,2.49092960357666,2.519392967224121,0,0,0.15,0,0,3.6999049839348817,0.0031890444950528566,3.8655839205366447,0.003361921563470569,0,0,500,0,168699,174151,0
MNIST,DBM(t-SNE+NNInv),0,0,1.9676539897918701,2.5446736812591553,2.587646484375,0,0,0.15,0,0,3.6614101834702524,0.0031886893368816087,3.802389071484474,0.0033016714293650795,0,0,600,0,173125,179500,0
MNIST,DBM(t-SNE+NNInv),0,0,2.7590527534484863,4.6866233348846436,3.4573426246643066,0,0,0.15,0,0,3.6732951723919416,0.003217601015776647,3.8838512531585794,0.003505928782894746,0,0,700,0,311713,243337,0
MNIST,DBM(t-SNE+NNInv),0,0,3.573026418685913,3.103872299194336,3.3920044898986816,0,0,0.15,0,0,3.077249893597971,0.00233107355635418,3.2615012135084207,0.0025460069638201356,0,0,800,0,209286,214414,0
MNIST,DBM(t-SNE+NNInv),0,0,4.517070770263672,7.0738911628723145,6.334202527999878,0,0,0.15,0,0,3.1019503208441987,0.0024176528912319794,3.3931257321498536,0.002778137576689804,0,0,900,0,478108,445635,0
MNIST,DBM(t-SNE+NNInv),0,0,5.497382164001465,4.695513725280762,4.884719371795654,0,0,0.15,0,0,3.4199970115060583,0.0029466882257178704,3.4971883329469495,0.0029958149629012295,0,0,1000,0,322502,331893,0
MNIST,SSNP,0,0,0.3275301456451416,1.2353465557098389,0.43962931632995605,0,0,0.15,0,0,1.9382918508940399,0.012702672221554785,2.4272101100810293,0.020515092821271435,0,0,100,0,6381,6338,0
MNIST,SSNP,0,0,0.8740108013153076,3.59486985206604,1.0366003513336182,0,0,0.15,0,0,1.2765609118419206,0.005158368310505001,1.6239226459105134,0.008090110127051617,0,0,200,0,32611,36635,0
MNIST,SSNP,0,0,2.0694997310638428,7.45911431312561,1.7015154361724854,0,0,0.15,0,0,1.061213065898124,0.0031296009229982765,1.257134792960936,0.005019130189720344,0,0,300,0,81592,82073,0
MNIST,SSNP,0,0,3.6082425117492676,7.4815123081207275,2.4214866161346436,0,0,0.15,0,0,0.980746778218229,0.002398866276116139,1.1457457309427497,0.0035705565002295873,0,0,400,0,78213,106712,0
MNIST,SSNP,0,0,6.613971471786499,13.908270359039307,3.2030673027038574,0,0,0.15,0,0,0.9284483022641545,0.0020099000602105906,1.0179874583654283,0.002616041729486295,0,0,500,0,155519,153242,0
MNIST,SSNP,0,0,8.834720849990845,19.549022674560547,3.5374374389648438,0,0,0.15,0,0,0.8841040592518727,0.0017316843672236233,0.9948809516282445,0.002444770086600953,0,0,600,0,220521,164951,0
MNIST,SSNP,0,0,11.88856029510498,32.970548152923584,6.40645956993103,0,0,0.15,0,0,0.8683860905668762,0.0016461831879843768,0.9493187213959038,0.002211913398756793,0,0,700,0,394663,362225,0
