Data,PPinv,time near dummy,time near,time grad dummy,time grad,time grad_reduced,time dist dummy,time dist,threshold,error near abs,error near sq,error grad abs,error grad sq,error grad reduced abs,error grad reduced sq,error dist abs,error dist sq,GRID,num_sparse_near,num_sparse_grad,num_sparse_grad_reduced,num_sparse_dist
MNIST,DBM(UMAP+NNInv),0,0,0.06852912902832031,1.0227935314178467,0.18827033042907715,0,0,0.125,0,0,4.267701338107648,0.004885637062229644,5.452574933874447,0.00845079699250457,0,0,100,0,8533,8205,0
MNIST,DBM(UMAP+NNInv),0,0,0.2461862564086914,0.8745806217193604,0.6723384857177734,0,0,0.125,0,0,3.112452512762366,0.0026487290772910454,3.8351354339314674,0.0039059853510064763,0,0,200,0,36952,36070,0
MNIST,DBM(UMAP+NNInv),0,0,0.594700813293457,1.7588098049163818,1.1520955562591553,0,0,0.125,0,0,2.7602427916670904,0.0019995686984767805,3.319311675237608,0.002888693137273916,0,0,300,0,74994,69789,0
MNIST,DBM(UMAP+NNInv),0,0,0.9907715320587158,2.599886178970337,1.8991479873657227,0,0,0.125,0,0,2.4895857296415875,0.001653800204597334,3.1324262474278,0.002549272467186579,0,0,400,0,104690,126464,0
MNIST,DBM(UMAP+NNInv),0,0,1.4701402187347412,4.245545387268066,2.969027280807495,0,0,0.125,0,0,2.443784292243043,0.001600437507634912,2.7216404300146317,0.0019028573374762774,0,0,500,0,182066,197758,0
MNIST,DBM(UMAP+NNInv),0,0,2.1870713233947754,5.238855838775635,3.76145076751709,0,0,0.125,0,0,2.3768189741868033,0.00152075182552417,2.837160545743397,0.0021279584112344164,0,0,600,0,205906,267014,0
MNIST,DBM(UMAP+NNInv),0,0,2.76485276222229,8.38674521446228,4.875829458236694,0,0,0.125,0,0,2.3807017297711592,0.0015347087295242735,2.653133215788335,0.0019256148730608504,0,0,700,0,357154,337539,0
MNIST,DBM(UMAP+NNInv),0,0,3.9223859310150146,8.974061727523804,4.980246067047119,0,0,0.125,0,0,2.702879085013837,0.0019529767573907026,2.8728792232645883,0.0021873639860832857,0,0,800,0,357720,351738,0
MNIST,DBM(UMAP+NNInv),0,0,4.547057628631592,11.503987073898315,6.990855932235718,0,0,0.125,0,0,2.584552951543565,0.0017959186723753705,2.6897617535248886,0.0018933453722904047,0,0,900,0,483101,510466,0
