Data,PPinv,time near dummy,time near,time grad dummy,time grad,time grad_reduced,time dist dummy,time dist,threshold,error near abs,error near sq,error grad abs,error grad sq,error grad reduced abs,error grad reduced sq,error dist abs,error dist sq,GRID,num_sparse_near,num_sparse_grad,num_sparse_grad_reduced,num_sparse_dist
MNIST,DBM(UMAP+NNInv),0,0,0,0,0,16.1040074825287,5.78107213973999,0.025,0,0,0,0,0,0,0.0137976806910709,0.00109942120526128,256,0,0,0,21284
MNIST,DBM(UMAP+NNInv),0,0,0,0,0,16.1040074825287,5.73288297653198,0.05,0,0,0,0,0,0,0.0138422061035576,0.0011041180524314,256,0,0,0,20396
MNIST,DBM(UMAP+NNInv),0,0,0,0,0,16.1040074825287,15.9891977310181,0.075,0,0,0,0,0,0,0.0136111875619976,0.00107308390799523,256,0,0,0,61272
MNIST,DBM(UMAP+NNInv),0,0,0,0,0,16.1040074825287,11.3481171131134,0.1,0,0,0,0,0,0,0.0138684249536531,0.0010916495685856,256,0,0,0,43890
MNIST,DBM(UMAP+NNInv),0,0,0,0,0,16.1040074825287,9.57703542709351,0.125,0,0,0,0,0,0,0.0142304867872281,0.00113263834969002,256,0,0,0,32874
MNIST,DBM(UMAP+NNInv),0,0,0,0,0,16.1040074825287,7.23050022125244,0.15,0,0,0,0,0,0,0.0145609771276799,0.00117403420441469,256,0,0,0,25290
MNIST,DBM(UMAP+NNInv),0,0,0,0,0,16.1040074825287,5.26750922203064,0.175,0,0,0,0,0,0,0.0149967211816375,0.00123528092310248,256,0,0,0,19733
MNIST,DBM(UMAP+NNInv),0,0,0,0,0,16.1040074825287,4.39076519012451,0.2,0,0,0,0,0,0,0.0154145613124092,0.00130608603607323,256,0,0,0,15969
MNIST,DBM(UMAP+NNInv),0,0,0,0,0,16.1040074825287,3.63592076301575,0.225,0,0,0,0,0,0,0.0156872680943108,0.00135142478387178,256,0,0,0,13254
MNIST,DBM(UMAP+NNInv),0,0,0,0,0,16.1040074825287,3.25038886070251,0.25,0,0,0,0,0,0,0.0160767688976249,0.00142296082763476,256,0,0,0,11339
MNIST,DBM(UMAP+NNInv),0,0,0,0,0,16.1040074825287,2.82069706916809,0.275,0,0,0,0,0,0,0.0164194246054206,0.00148485862418692,256,0,0,0,9816
MNIST,DBM(UMAP+NNInv),0,0,0,0,0,16.1040074825287,2.46356654167175,0.3,0,0,0,0,0,0,0.0166725768070553,0.00154033351716713,256,0,0,0,8746
MNIST,DBM(UMAP+NNInv),0,0,0,0,0,16.1040074825287,1.9477322101593,0.35,0,0,0,0,0,0,0.0177164355633062,0.0017828986151475,256,0,0,0,6828
MNIST,DBM(UMAP+NNInv),0,0,0,0,0,16.1040074825287,1.6671028137207,0.4,0,0,0,0,0,0,0.0185224567634454,0.00198825145859062,256,0,0,0,5552
MNIST,DBM(UMAP+NNInv),0,0,0,0,0,16.1040074825287,1.19810009002686,0.5,0,0,0,0,0,0,0.019919943065162,0.00237108270365971,256,0,0,0,4156
MNIST,DBM(UMAP+NNInv),0,0,0,0,0,16.1040074825287,0.984435796737671,0.6,0,0,0,0,0,0,0.0209575325372371,0.00265819051057463,256,0,0,0,3336
MNIST,DBM(t-SNE+NNInv),0,0,0,0,0,15.7268965244293,5.45801520347595,0.025,0,0,0,0,0,0,0.0166750855256761,0.00151178428389997,256,0,0,0,21088
MNIST,DBM(t-SNE+NNInv),0,0,0,0,0,15.7268965244293,14.6226444244385,0.05,0,0,0,0,0,0,0.0164601064948937,0.0014826737611777,256,0,0,0,57860
MNIST,DBM(t-SNE+NNInv),0,0,0,0,0,15.7268965244293,11.9524500370026,0.075,0,0,0,0,0,0,0.0167008739444946,0.00149274661844336,256,0,0,0,47645
MNIST,DBM(t-SNE+NNInv),0,0,0,0,0,15.7268965244293,8.35360932350159,0.1,0,0,0,0,0,0,0.0169572111705811,0.0015135713786898,256,0,0,0,33695
MNIST,DBM(t-SNE+NNInv),0,0,0,0,0,15.7268965244293,6.30929303169251,0.125,0,0,0,0,0,0,0.0173650306588329,0.0015644052508288,256,0,0,0,24692
MNIST,DBM(t-SNE+NNInv),0,0,0,0,0,15.7268965244293,5.01533079147339,0.15,0,0,0,0,0,0,0.0178855691737691,0.00165702700380112,256,0,0,0,18520
MNIST,DBM(t-SNE+NNInv),0,0,0,0,0,15.7268965244293,3.84347319602966,0.175,0,0,0,0,0,0,0.018383015258306,0.00175439557188434,256,0,0,0,14548
MNIST,DBM(t-SNE+NNInv),0,0,0,0,0,15.7268965244293,3.15982818603516,0.2,0,0,0,0,0,0,0.0189509342914377,0.00187408191847702,256,0,0,0,11693
MNIST,DBM(t-SNE+NNInv),0,0,0,0,0,15.7268965244293,2.67990684509277,0.225,0,0,0,0,0,0,0.0194809410892779,0.00199161680690803,256,0,0,0,9898
MNIST,DBM(t-SNE+NNInv),0,0,0,0,0,15.7268965244293,2.29822111129761,0.25,0,0,0,0,0,0,0.0200329137206539,0.00213891352609801,256,0,0,0,8453
MNIST,DBM(t-SNE+NNInv),0,0,0,0,0,15.7268965244293,1.98144483566284,0.275,0,0,0,0,0,0,0.0206468808605468,0.00229734913549344,256,0,0,0,7299
MNIST,DBM(t-SNE+NNInv),0,0,0,0,0,15.7268965244293,1.7612624168396,0.3,0,0,0,0,0,0,0.0212051443644806,0.00244806817863428,256,0,0,0,6308
MNIST,DBM(t-SNE+NNInv),0,0,0,0,0,15.7268965244293,1.44780945777893,0.35,0,0,0,0,0,0,0.0225191703145703,0.00285326906349208,256,0,0,0,4949
MNIST,DBM(t-SNE+NNInv),0,0,0,0,0,15.7268965244293,1.16572904586792,0.4,0,0,0,0,0,0,0.0237965257476484,0.00326783935862699,256,0,0,0,4096
MNIST,DBM(t-SNE+NNInv),0,0,0,0,0,15.7268965244293,0.891429662704468,0.5,0,0,0,0,0,0,0.0262878902187161,0.00413971555295606,256,0,0,0,3020
MNIST,DBM(t-SNE+NNInv),0,0,0,0,0,15.7268965244293,0.733606815338135,0.6,0,0,0,0,0,0,0.0292951768387345,0.0053500434435897,256,0,0,0,2396
MNIST,SSNP,0,0,0,0,0,17.0165195465088,6.60023069381714,0.025,0,0,0,0,0,0,0.0133825469605009,0.000698228894961193,256,0,0,0,20852
