Data,PPinv,time near dummy,time near,time grad dummy,time grad,threshold,error_near_abs,error_near_sq,error_grad_abs,error_grad_sq,num_sparse_near,num_sparse_grad
MNIST,DBM(UMAP+iLAMP),0,0,827.3343467712402,948.81911277771,0.05,0,0,109.78358082241311,0.1161336282381489,0,65536
MNIST,DBM(UMAP+iLAMP),0,0,827.3343467712402,1096.192928314209,0.1,0,0,109.78358082241311,0.1161336282381489,0,65536
MNIST,DBM(UMAP+iLAMP),0,0,827.3343467712402,955.2100961208344,0.15,0,0,109.78358082241311,0.1161336282381489,0,65536
MNIST,DBM(UMAP+iLAMP),0,0,827.3343467712402,982.3636269569397,0.2,0,0,109.78358082241311,0.1161336282381489,0,65536
MNIST,DBM(UMAP+iLAMP),0,0,827.3343467712402,941.4830098152161,0.25,0,0,109.78358082241311,0.1161336282381489,0,65536
MNIST,DBM(UMAP+iLAMP),0,0,827.3343467712402,956.492190361023,0.3,0,0,109.78358082241311,0.1161336282381489,0,65536
MNIST,DBM(UMAP+iLAMP),0,0,827.3343467712402,983.5792219638824,0.35,0,0,109.78358082241311,0.1161336282381489,0,65536
MNIST,DBM(UMAP+iLAMP),0,0,827.3343467712402,965.7792549133301,0.4,0,0,109.78358082241311,0.1161336282381489,0,65536
MNIST,DBM(UMAP+iLAMP),0,0,827.3343467712402,882.9859323501587,0.45,0,0,110.11861485997109,0.11664064405878344,0,61704
MNIST,DBM(UMAP+iLAMP),0,0,827.3343467712402,748.7170896530151,0.5,0,0,111.90269550712095,0.11928066976249779,0,50556
MNIST,DBM(t-SNE+iLAMP),0,0,684.1357862949371,944.3041400909424,0.05,0,0,495.5376021139805,0.17967978568265017,0,65536
MNIST,DBM(t-SNE+iLAMP),0,0,684.1357862949371,941.7407281398773,0.1,0,0,495.5376021139805,0.17967978568265017,0,65536
MNIST,DBM(t-SNE+iLAMP),0,0,684.1357862949371,946.6427481174469,0.15,0,0,495.5376021139805,0.17967978568265017,0,65536
MNIST,DBM(t-SNE+iLAMP),0,0,684.1357862949371,1092.1226272583008,0.2,0,0,495.5376021139805,0.17967978568265017,0,65536
MNIST,DBM(t-SNE+iLAMP),0,0,684.1357862949371,992.2949681282043,0.25,0,0,495.5376021139805,0.17967978568265017,0,65536
MNIST,DBM(t-SNE+iLAMP),0,0,684.1357862949371,991.1895112991333,0.3,0,0,495.5376021139805,0.17967978568265017,0,65536
MNIST,DBM(t-SNE+iLAMP),0,0,684.1357862949371,949.4982213973999,0.35,0,0,495.5376021139805,0.17967978568265017,0,65536
MNIST,DBM(t-SNE+iLAMP),0,0,684.1357862949371,885.9907777309418,0.4,0,0,500.436814201439,0.18138061392163862,0,58589
MNIST,DBM(t-SNE+iLAMP),0,0,684.1357862949371,743.8141000270844,0.45,0,0,508.63922992413694,0.18489145326349077,0,47401
MNIST,DBM(t-SNE+iLAMP),0,0,684.1357862949371,573.6465902328491,0.5,0,0,515.964480015966,0.1880677801539361,0,37273
MNIST,DBM(UMAP+NNInv),0,0,0.49791908264160156,22.88916850090027,0.05,0,0,2.19606900866201,0.001445596850093852,0,65536
MNIST,DBM(UMAP+NNInv),0,0,0.49791908264160156,22.912204027175903,0.1,0,0,2.19606900866201,0.001445596850093852,0,65536
MNIST,DBM(UMAP+NNInv),0,0,0.49791908264160156,18.37457013130188,0.15,0,0,2.2916297334366273,0.0015389474307654755,0,55270
MNIST,DBM(UMAP+NNInv),0,0,0.49791908264160156,10.673396587371826,0.2,0,0,2.619209126972294,0.0019411899036012666,0,35687
MNIST,DBM(UMAP+NNInv),0,0,0.49791908264160156,6.260183572769165,0.25,0,0,2.9656649026431805,0.0024248644669515587,0,22844
MNIST,DBM(UMAP+NNInv),0,0,0.49791908264160156,3.8387856483459473,0.3,0,0,3.273559474671869,0.0028478686610566416,0,15169
MNIST,DBM(UMAP+NNInv),0,0,0.49791908264160156,2.326373815536499,0.35,0,0,3.745683439599623,0.00373995951699835,0,9903
MNIST,DBM(UMAP+NNInv),0,0,0.49791908264160156,1.3743956089019775,0.4,0,0,4.2593457548888445,0.004931217322902539,0,6432
MNIST,DBM(UMAP+NNInv),0,0,0.49791908264160156,0.7996494770050049,0.45,0,0,4.749380134520927,0.0061850180756029835,0,4191
MNIST,DBM(UMAP+NNInv),0,0,0.49791908264160156,0.49294471740722656,0.5,0,0,5.047243110988759,0.007141700521538757,0,3003
MNIST,DBM(t-SNE+NNInv),0,0,0.49238133430480957,23.64016103744507,0.05,0,0,2.810921065239548,0.001988909869769902,0,65536
MNIST,DBM(t-SNE+NNInv),0,0,0.49238133430480957,23.777793169021606,0.1,0,0,2.810921065239548,0.001988909869769902,0,65536
MNIST,DBM(t-SNE+NNInv),0,0,0.49238133430480957,20.236534595489502,0.15,0,0,2.866146151467236,0.002058046710706417,0,57965
MNIST,DBM(t-SNE+NNInv),0,0,0.49238133430480957,11.93621301651001,0.2,0,0,3.1977628410319903,0.0025171459650222294,0,37982
MNIST,DBM(t-SNE+NNInv),0,0,0.49238133430480957,7.067012071609497,0.25,0,0,3.664345161131715,0.0033651992261395283,0,24526
MNIST,DBM(t-SNE+NNInv),0,0,0.49238133430480957,4.285985708236694,0.3,0,0,4.1699055417087,0.004209525943621193,0,16001
MNIST,DBM(t-SNE+NNInv),0,0,0.49238133430480957,2.5155222415924072,0.35,0,0,4.729952046330377,0.005392654901455907,0,10239
MNIST,DBM(t-SNE+NNInv),0,0,0.49238133430480957,1.3978917598724365,0.4,0,0,5.293537975516646,0.006696983464637468,0,6424
