Data,PPinv,time near dummy,time near,time grad dummy,time grad,time dist dummy,time dist,threshold,error near abs,error near sq,error grad abs,error grad sq,error dist abs,error dist sq,GRID,num_sparse_near,num_sparse_grad,num_sparse_dist
MNIST,DBM(UMAP+NNInv),2.02752733230591,1.50712442398071,0.35580039024353,0.540365219116211,17.0679969787598,7.89463400840759,0.1,0.0553748881546381,0.000298381231065691,3.25548168183728,0.00287527667654413,0.0163573487865751,0.00165498920967021,256,9857,23450,30161
MNIST,DBM(UMAP+NNInv),2.02752733230591,0.244322538375855,0.35580039024353,0.216092109680176,17.0679969787598,3.60820531845093,0.15,0.0700336668516895,0.000482167395951795,4.04505505073108,0.00427018099849972,0.0182462382035066,0.00199961443648265,256,3987,11628,14494
MNIST,DBM(UMAP+NNInv),2.02752733230591,0.13389253616333,0.35580039024353,0.128562927246094,17.0679969787598,2.09377908706665,0.2,0.0769601692444456,0.00057615986147424,4.61410037242314,0.00561993827471556,0.0205345302189682,0.00262920772431362,256,2214,6600,8089
MNIST,DBM(UMAP+NNInv),2.02752733230591,0.136757850646973,0.35580039024353,0.0917720794677734,17.0679969787598,1.31979465484619,0.25,0.0825356505290049,0.000664559721929277,5.13270737172554,0.00691619822574061,0.0234410142312857,0.00372390501872976,256,1557,4250,4961
MNIST,DBM(UMAP+NNInv),2.02752733230591,0.122225761413574,0.35580039024353,0.0690429210662842,17.0679969787598,0.885822534561157,0.3,0.0836785401689481,0.000694526826935647,5.43532038776983,0.00789406618442476,0.0261130117071017,0.00502360911199422,256,1342,3005,3190
MNIST,DBM(UMAP+NNInv),2.02752733230591,0.0982973575592041,0.35580039024353,0.0456197261810303,17.0679969787598,0.546461582183838,0.4,0.0855983389037608,0.000735603592124415,6.00047565729267,0.0102126505803617,0.0291288018170073,0.00632939444403582,256,1168,1772,1926
MNIST,DBM(UMAP+NNInv),2.02752733230591,0.0919320583343506,0.35580039024353,0.0391976833343506,17.0679969787598,0.426789999008179,0.5,0.0860026351125577,0.000742326209603448,6.32821429697829,0.0119256022002845,0.0311335493614797,0.00765686600800391,256,1156,1334,1410
MNIST,DBM(UMAP+NNInv),2.02752733230591,0.0913352966308594,0.35580039024353,0.0372836589813232,17.0679969787598,0.367037296295166,0.6,0.0860026351125577,0.000742326209603448,6.45744406021884,0.0126939476039198,0.0319145743085989,0.00800249352403269,256,1156,1238,1240
MNIST,DBM(UMAP+NNInv),2.02752733230591,0.065967321395874,0.35580039024353,0.0375583171844482,17.0679969787598,0.339784383773804,0.7,0.0860026351125577,0.000742326209603448,6.56950296430887,0.0134910499450527,0.0322063641783836,0.00809395821642656,256,1156,1182,1168
MNIST,DBM(t-SNE+NNInv),2.10929036140442,0.66686224937439,0.367406368255615,0.66214394569397,16.5265758037567,8.58732652664185,0.1,0.062485512624726,0.000334273747467437,3.53326808339373,0.0022510985596197,0.0169993403998671,0.00165760584361369,256,13089,35809,33657
MNIST,DBM(t-SNE+NNInv),2.10929036140442,0.265002965927124,0.367406368255615,0.318561315536499,16.5265758037567,4.48586058616638,0.15,0.0832294874827621,0.000609874210996523,4.33654318682539,0.00332792710220387,0.0192185440989932,0.00216794310056491,256,4967,17324,17068
MNIST,DBM(t-SNE+NNInv),2.10929036140442,0.152708768844605,0.367406368255615,0.174460411071777,16.5265758037567,2.77648782730103,0.2,0.0961301196009731,0.000826574242699424,5.3483893759636,0.00516664779143229,0.0214528567628902,0.0027315566935131,256,2530,8953,9438
MNIST,DBM(t-SNE+NNInv),2.10929036140442,0.168786525726318,0.367406368255615,0.109873056411743,16.5265758037567,1.62533211708069,0.25,0.1013843299956,0.000923182124973964,6.1339626397066,0.00694017507007393,0.024318165009362,0.00367305843626218,256,1838,5351,5719
MNIST,DBM(t-SNE+NNInv),2.10929036140442,0.122858285903931,0.367406368255615,0.0764815807342529,16.5265758037567,1.09466910362244,0.3,0.106707907593817,0.00102492559180033,6.76671242749062,0.00849594883813105,0.0269803054302314,0.00475329956154668,256,1400,3403,3757
MNIST,DBM(t-SNE+NNInv),2.10929036140442,0.110394716262817,0.367406368255615,0.0477011203765869,16.5265758037567,0.63250994682312,0.4,0.109457206190253,0.00108340428612809,7.56239337572255,0.0108534123689592,0.0322489310291248,0.00733826877891908,256,1190,1742,2106
MNIST,DBM(t-SNE+NNInv),2.10929036140442,0.0914466381072998,0.367406368255615,0.0373208522796631,16.5265758037567,0.430689096450806,0.5,0.110237548660822,0.00111130979095815,7.91309655786765,0.0120260399986033,0.0359452501131635,0.00938636705741214,256,1156,1282,1408
MNIST,DBM(t-SNE+NNInv),2.10929036140442,0.0916180610656738,0.367406368255615,0.0369184017181397,16.5265758037567,0.356793880462647,0.6,0.110237548660822,0.00111130979095815,8.07322603267403,0.0128351483792132,0.0365041812477699,0.00973308640040155,256,1156,1220,1168
MNIST,DBM(t-SNE+NNInv),2.10929036140442,0.0922093391418457,0.367406368255615,0.0320653915405273,16.5265758037567,0.364055395126343,0.7,0.110237548660822,0.00111130979095815,8.10116448839514,0.0129273190374087,0.0365198089700827,0.00962074409083711,256,1156,1164,1156
MNIST,SSNP,3.18316054344177,0.841494798660278,1.56496953964233,3.2893602848053,15.8783206939697,8.68637919425964,0.1,0.0210229573338258,3.9353530441544076e-05,0.751328608941039,0.001523101286186,0.0185284866982737,0.00148098795717825,256,5628,29136,31209
MNIST,SSNP,3.18316054344177,0.479710340499878,1.56496953964233,2.36186504364014,15.8783206939697,4.90904593467712,0.15,0.0241880253349565,5.435373725884186e-05,0.837187244492059,0.00168551883121248,0.0199469430356286,0.00164762322450865,256,2682,17587,16043
MNIST,SSNP,3.18316054344177,0.466863632202148,1.56496953964233,1.90040516853333,15.8783206939697,2.9480345249176,0.2,0.0260793211986681,6.707094719096547e-05,0.932219627912179,0.00194264878039234,0.0215926403491164,0.00193589790994103,256,1740,11850,9376
MNIST,SSNP,3.18316054344177,0.409495115280151,1.56496953964233,1.57191395759583,15.8783206939697,1.93591451644897,0.25,0.0267680109793224,7.268490102066982e-05,1.04729969196578,0.00234969499620736,0.0237015677657005,0.00241572672413753,256,1392,7931,5696
MNIST,SSNP,3.18316054344177,0.330975770950317,1.56496953964233,1.39453554153442,15.8783206939697,1.39292144775391,0.3,0.0274736103676589,8.257089906027658e-05,1.14699560664077,0.0027538221928111,0.0259892070298175,0.00307592043098585,256,1242,5725,3850
MNIST,SSNP,3.18316054344177,0.165979146957397,1.56496953964233,1.17739176750183,15.8783206939697,0.896847486495972,0.4,0.0271849020824705,7.561180536571768e-05,1.35352546732883,0.00398656006759521,0.0296891192700617,0.00444516314620349,256,1156,3347,2106
MNIST,SSNP,3.18316054344177,0.167357206344605,1.56496953964233,1.06881618499756,15.8783206939697,0.716387271881104,0.5,0.0271849020824705,7.561180536571768e-05,1.53466683371083,0.00577546809900112,0.0318787159087505,0.00549890829919335,256,1156,2060,1452
MNIST,SSNP,3.18316054344177,0.180474996566772,1.56496953964233,1.00043392181396,15.8783206939697,0.657111167907715,0.6,0.0271849020824705,7.561180536571768e-05,1.62132696234414,0.00679288275705096,0.0329679154671836,0.00609752252191864,256,1156,1552,1306
MNIST,SSNP,3.18316054344177,0.192595958709717,1.56496953964233,0.967585802078247,15.8783206939697,0.610680341720581,0.7,0.0271849020824705,7.561180536571768e-05,1.74637198044981,0.00850562190565541,0.0331311917548027,0.00601220334650814,256,1156,1218,1194
MNIST,DBM(UMAP+iLAMP),212.058067560196,161.056563138962,202.600852489471,232.317193984985,194.209115028381,171.772135019302,0.1,0.385824028888598,0.0388255729592643,95.9453050622853,0.0916728021499908,0.0621752479751124,0.0314779230146231,256,58032,19756,53800
MNIST,DBM(UMAP+iLAMP),212.058067560196,168.4006254673,202.600852489471,552.842501163483,194.209115028381,149.16512799263,0.15,0.401088551897872,0.0391502183773238,95.9552796894359,0.093717341873893,0.0659351565648351,0.0320507712359224,256,60797,51252,50678
MNIST,DBM(UMAP+iLAMP),212.058067560196,113.94294667244,202.600852489471,487.401944637299,194.209115028381,98.9497826099396,0.2,0.418594022092019,0.0396714525670417,100.476284160382,0.09951445421849,0.0704560569078502,0.0338096054008182,256,41537,45202,32612
MNIST,DBM(UMAP+iLAMP),212.058067560196,75.8307018280029,202.600852489471,319.518106460571,194.209115028381,62.0784168243408,0.25,0.432581836526869,0.040106909879335,104.848139463857,0.106343587864006,0.0758523680419662,0.0375355174957263,256,27453,27815,21011
MNIST,DBM(UMAP+iLAMP),212.058067560196,49.8231074810028,202.600852489471,211.066043376923,194.209115028381,40.8841705322266,0.3,0.449742742600174,0.0414583234209217,109.133445984937,0.112938882035769,0.0825348875267467,0.0426074799754618,256,16694,17880,13312
MNIST,DBM(UMAP+iLAMP),212.058067560196,18.8666350841522,202.600852489471,91.3108930587769,194.209115028381,18.17107629776,0.4,0.483078995452648,0.0449324315502466,117.763092478288,0.128598470351863,0.093506375652298,0.0520846492747253,256,6662,7914,6021
MNIST,DBM(UMAP+iLAMP),212.058067560196,7.78313970565796,202.600852489471,40.7011244297028,194.209115028381,9.70825910568237,0.5,0.508123392199749,0.0484065298968553,125.453806124112,0.145565260584537,0.101290536099537,0.060969372101784,256,2759,3498,3032
MNIST,DBM(UMAP+iLAMP),212.058067560196,4.8268768787384,202.600852489471,24.179943561554,194.209115028381,5.76965069770813,0.6,0.521069653406197,0.0504079918755697,128.629280301785,0.152409131397607,0.105668371707641,0.0656808647252795,256,1645,2125,1772
MNIST,DBM(UMAP+iLAMP),212.058067560196,3.81850123405457,202.600852489471,17.1852877140045,194.209115028381,4.09055233001709,0.7,0.526022046337862,0.0514289437242685,129.99545433987,0.156101256629602,0.108380161295413,0.0692802187372444,256,1286,1449,1259
MNIST,DBM(t-SNE+iLAMP),205.02313041687,25.0518183708191,208.257615327835,403.210294961929,199.947465419769,62.2786293029785,0.1,0.807665695000746,0.00952291247875288,511.799357096733,0.182738889766686,0.135763417751179,0.132598732018131,256,8568,36295,20116
MNIST,DBM(t-SNE+iLAMP),205.02313041687,9.01794743537903,208.257615327835,282.663047790527,199.947465419769,155.630985975266,0.15,0.85776001450929,0.0105601424169688,525.407138513192,0.186212746928918,0.136098288252989,0.168859918198254,256,3046,24329,48892
MNIST,DBM(t-SNE+iLAMP),205.02313041687,5.48737668991089,208.257615327835,196.034903526306,199.947465419769,149.426752567291,0.2,0.883620405566762,0.0110787287054615,542.804185905292,0.192166633705356,0.144897418477297,0.172627099275712,256,1635,16502,45830
MNIST,DBM(t-SNE+iLAMP),205.02313041687,3.66257262229919,208.257615327835,146.780488729477,199.947465419769,98.3124005794525,0.25,0.893378363762796,0.0113926926126845,551.59894312735,0.194030827817721,0.155919742845066,0.180713270401917,256,1196,12292,29219
MNIST,DBM(t-SNE+iLAMP),205.02313041687,3.46668934822083,208.257615327835,103.545687675476,199.947465419769,71.3442103862763,0.3,0.898663682544536,0.0115656221837107,565.242051488952,0.200315064590233,0.167936493360592,0.189419194562345,256,1156,8825,19175
MNIST,DBM(t-SNE+iLAMP),205.02313041687,5.10901260375977,208.257615327835,75.43510389328,199.947465419769,35.4915437698364,0.4,0.898663682544536,0.0115656221837107,585.942633093658,0.209646404652826,0.185503521528912,0.211974419879788,256,1156,5084,9394
