Data,PPinv,time near dummy,time near,time grad dummy,time grad,threshold,error_near_abs,error_near_sq,error_grad_abs,error_grad_sq,num_sparse_near,num_sparse_grad,GRID
MNIST,DBM(UMAP+NNInv),0.31061339378356934,18.72332739830017,0,0,0.2,0.10597966943022089,0.0007975202925158026,0,0,5387,0,100
MNIST,DBM(UMAP+NNInv),0.9933717250823975,44.18053364753723,0,0,0.2,0.07276019960644135,0.0004187668345699757,0,0,34509,0,200
MNIST,DBM(UMAP+NNInv),2.573727607727051,48.227379322052,0,0,0.2,0.06377058837068009,0.0003556835448711973,0,0,64600,0,300
MNIST,DBM(UMAP+NNInv),4.406148910522461,55.85241174697876,0,0,0.2,0.05966456654899916,0.00032969527046896246,0,0,6541,0,400
MNIST,DBM(UMAP+NNInv),6.906017541885376,50.0963089466095,0,0,0.2,0.05738703238156123,0.00031809087377172656,0,0,6255,0,500
MNIST,DBM(UMAP+NNInv),9.91626238822937,62.197269439697266,0,0,0.2,0.056625206203868975,0.00032060218475311875,0,0,240222,0,600
MNIST,DBM(UMAP+NNInv),13.327582120895386,50.21750044822693,0,0,0.2,0.05600501115847878,0.0003199674377494769,0,0,6194,0,700
MNIST,DBM(UMAP+NNInv),17.489367961883545,52.73680067062378,0,0,0.2,0.0615012463209845,0.00038980809426271466,0,0,529035,0,800
MNIST,DBM(UMAP+NNInv),22.218165636062622,32.2793607711792,0,0,0.2,0.07013425207803314,0.00048182555502137827,0,0,555964,0,900
MNIST,DBM(UMAP+NNInv),27.36921262741089,17.89742636680603,0,0,0.2,0.0717530060917499,0.0005121124433024044,0,0,253404,0,1000
MNIST,DBM(UMAP+NNInv),32.98927712440491,25.41912865638733,0,0,0.2,0.06958822044474018,0.0004847167970754212,0,0,424725,0,1100
MNIST,DBM(UMAP+NNInv),39.19093632698059,27.518574953079224,0,0,0.2,0.06848448522312778,0.00046722695041097594,0,0,424702,0,1200
MNIST,DBM(UMAP+NNInv),44.77295136451721,36.97955799102783,0,0,0.2,0.06529754707628961,0.0004362962532143877,0,0,556717,0,1300
MNIST,DBM(UMAP+NNInv),53.43775224685669,65.49296164512634,0,0,0.2,0.0599714613387476,0.0003827326118589751,0,0,1140446,0,1400
MNIST,DBM(UMAP+NNInv),62.54647994041443,77.58831429481506,0,0,0.2,0.06237641671680966,0.00040740140302329047,0,0,2101036,0,1500
MNIST,DBM(UMAP+NNInv),74.40645217895508,92.13230299949646,0,0,0.2,0.056882096649692564,0.00035827231970798716,0,0,2103146,0,1600
MNIST,DBM(UMAP+NNInv),79.23430466651917,104.4272952079773,0,0,0.2,0.05727833973478608,0.0003566038943959672,0,0,2394242,0,1700
MNIST,DBM(UMAP+NNInv),89.28088808059692,85.98841333389282,0,0,0.2,0.06874333747817496,0.00046731539773251315,0,0,2391093,0,1800
MNIST,DBM(UMAP+NNInv),103.59570789337158,45.85174059867859,0,0,0.2,0.0697457959235467,0.0004916701320948955,0,0,1138179,0,1900
