Data,PPinv,time near dummy,time near,time grad dummy,time grad,threshold,error_near_abs,error_near_sq,error_grad_abs,error_grad_sq,num_sparse_near,num_sparse_grad,GRID
MNIST,DBM(UMAP+NNInv),0.33643603324890137,15.629278182983398,0.08209347724914551,0.2883899211883545,0.2,0.10553532958273383,0.0007898192811457704,6.038711215702164,0.010738183091159544,8711,8207,100
MNIST,DBM(UMAP+NNInv),1.0154407024383545,15.33199405670166,0.31777453422546387,0.32990503311157227,0.2,0.07885044156765607,0.000498391761737833,6.092447784176776,0.011368816814954087,14114,13037,200
MNIST,DBM(UMAP+NNInv),2.156219244003296,50.80033612251282,0.7173686027526855,1.7997844219207764,0.2,0.06410368639014456,0.00035583725718247466,5.502361459094276,0.009449844552345132,5660,68758,300
MNIST,DBM(UMAP+NNInv),4.321263074874878,23.26348876953125,1.3849208354949951,1.2135727405548096,0.2,0.06745884419313775,0.0004183892325697248,6.24848334450315,0.01199793944763557,57803,56057,400
MNIST,DBM(UMAP+NNInv),6.765628337860107,26.89498496055603,2.266416072845459,4.349105358123779,0.2,0.06485182192349845,0.0003976466407249727,6.016196626809699,0.011315682638592395,130831,220521,500
MNIST,DBM(UMAP+NNInv),9.520212173461914,44.291436433792114,2.8204307556152344,5.340244293212891,0.2,0.06089826055356916,0.000361151795656782,5.891100631021913,0.010839205878409305,238487,265108,600
MNIST,DBM(UMAP+NNInv),13.019660234451294,38.92537188529968,7.483628511428833,5.21493124961853,0.2,0.06248548782054125,0.00038695885157553954,5.929510043139813,0.011166360444220636,237710,236987,700
MNIST,DBM(UMAP+NNInv),17.2340726852417,48.25886154174805,13.445291519165039,11.170279502868652,0.2,0.06265749294603759,0.00039091297520994984,6.550177341929807,0.01350226549136089,528199,555220,800
MNIST,DBM(UMAP+NNInv),21.449299097061157,46.14535069465637,44.093252182006836,14.899649381637573,0.2,0.06742854739668479,0.0004446105127636347,6.572204505282799,0.013360777719970504,352464,613434,900
MNIST,DBM(UMAP+NNInv),27.80846905708313,36.83090877532959,26.14087963104248,7.203264474868774,0.2,0.06711667245948187,0.00043651434852184185,6.56745151227301,0.01355598694385033,526953,351261,1000
MNIST,DBM(UMAP+NNInv),32.88039994239807,87.3177661895752,51.10179615020752,20.137040615081787,0.2,0.05925746273946155,0.00035219730423742074,6.185667349362689,0.011895585421837617,1053857,1051598,1100
