Data,PPinv,time near dummy,time near,time grad dummy,time grad,time dist dummy,time dist,threshold,error near abs,error near sq,error grad abs,error grad sq,error dist abs,error dist sq,GRID,num_sparse_near,num_sparse_grad,num_sparse_dist
MNIST,DBM(UMAP+RBF),8.222924709320068,9.294734477996826,4.545137882232666,13.315624952316284,20.70396637916565,19.296588897705078,0.1,0.28492286771727715,0.01428953846146167,32.42481635194978,0.04303563098584077,0.03528807623371347,0.01953514720393846,256,63472,49744,58646
MNIST,DBM(UMAP+RBF),8.222924709320068,5.601037502288818,4.545137882232666,10.111492395401001,20.70396637916565,13.654037475585938,0.15,0.28838001953133174,0.014065612735996687,32.700570187003486,0.043232823292531766,0.036904506218034164,0.020029758662835028,256,40544,38308,40427
MNIST,DBM(UMAP+RBF),8.222924709320068,3.25727915763855,4.545137882232666,7.1442484855651855,20.70396637916565,9.655075550079346,0.2,0.29796688983022823,0.014202986912146104,33.797112750594245,0.04586161025748588,0.0395037850955573,0.021149933936030887,256,23145,26808,28381
MNIST,DBM(UMAP+RBF),8.222924709320068,1.7441151142120361,4.545137882232666,5.0574212074279785,20.70396637916565,6.703038215637207,0.25,0.3267572990075462,0.01605767162939185,35.14346765366066,0.04858633588392313,0.04248683860907121,0.023291175303110628,256,11637,18902,19414
MNIST,DBM(UMAP+RBF),8.222924709320068,0.9553749561309814,4.545137882232666,3.5716233253479004,20.70396637916565,4.926023006439209,0.3,0.3541128832481505,0.018005349812081572,36.52810338758404,0.051344297040840016,0.04595650126680889,0.02665284460947851,256,6003,13064,13278
MNIST,DBM(UMAP+RBF),8.222924709320068,0.371842622756958,4.545137882232666,1.8208212852478027,20.70396637916565,2.6455328464508057,0.4,0.3949060646273129,0.021283207253406867,39.95581914031448,0.059825434219130905,0.053067696680437516,0.0344819022901588,256,2169,6861,6877
MNIST,DBM(UMAP+RBF),8.222924709320068,0.2848014831542969,4.545137882232666,0.9269258975982666,20.70396637916565,1.4046053886413574,0.5,0.42000523221833597,0.023639714791146047,44.42822313696839,0.07281515847092518,0.062074755475291885,0.048688101533645216,256,1380,3530,3211
MNIST,DBM(UMAP+RBF),8.222924709320068,0.2487778663635254,4.545137882232666,0.5251975059509277,20.70396637916565,0.9410345554351807,0.6,0.42589116823469253,0.024204073212080235,48.70412812038262,0.08529155058347289,0.06696569472380519,0.05707624447160075,256,1156,1955,1998
MNIST,DBM(UMAP+RBF),8.222924709320068,0.21099066734313965,4.545137882232666,0.4378063678741455,20.70396637916565,0.7841212749481201,0.7,0.42589116823469253,0.024204073212080235,51.56161805278633,0.0934457428514255,0.06927443380336201,0.061213936944446386,256,1156,1402,1492
MNIST,DBM(t-SNE+RBF),8.194646835327148,7.489730358123779,4.681125164031982,16.08196711540222,20.1591854095459,19.505656480789185,0.1,0.34659318295288977,0.016131884349274477,30.559440504917387,0.024262672071542195,0.03966916639913067,0.022684197406026434,256,53408,59772,57309
MNIST,DBM(t-SNE+RBF),8.194646835327148,8.543766975402832,4.681125164031982,10.210819482803345,20.1591854095459,12.584934711456299,0.15,0.35227577682062294,0.01647882716385092,32.057293571686145,0.0262640748583143,0.04372618080286689,0.025922127906509933,256,62919,38970,35527
MNIST,DBM(t-SNE+RBF),8.194646835327148,5.6692798137664795,4.681125164031982,6.606134653091431,20.1591854095459,7.819862127304077,0.2,0.3599494012588963,0.017048108001839087,33.99474512639163,0.02914563413940365,0.048000659234458266,0.030884856140905442,256,41313,24857,21719
MNIST,DBM(t-SNE+RBF),8.194646835327148,3.1946280002593994,4.681125164031982,4.12467360496521,20.1591854095459,4.887844562530518,0.25,0.3871888987374459,0.019757008376144393,36.70224506640623,0.0334563952586834,0.0550874874279539,0.041183844203323314,256,23065,15539,13089
MNIST,DBM(t-SNE+RBF),8.194646835327148,1.695345401763916,4.681125164031982,2.7117233276367188,20.1591854095459,2.9881956577301025,0.3,0.4162044262841447,0.022559688861819794,38.71448631279362,0.03653682317437801,0.06330683878276883,0.05316069302366847,256,11456,10585,7719
MNIST,DBM(t-SNE+RBF),8.194646835327148,0.5464398860931396,4.681125164031982,1.38010835647583,20.1591854095459,1.3530237674713135,0.4,0.4799426243042297,0.028659311640668192,43.340715276729036,0.04413062758964168,0.076600290393563,0.07883052125740442,256,3367,5112,3063
MNIST,DBM(t-SNE+RBF),8.194646835327148,0.3709092140197754,4.681125164031982,0.6440153121948242,20.1591854095459,0.8103296756744385,0.5,0.5160433852555497,0.032342037725573265,47.742412433538725,0.05266512606398949,0.08286139786537992,0.09141071627510844,256,1655,2494,1711
MNIST,DBM(t-SNE+RBF),8.194646835327148,0.25174999237060547,4.681125164031982,0.4856088161468506,20.1591854095459,0.6085326671600342,0.6,0.5354062047336431,0.034911949034214136,50.02487292276401,0.05586273564730633,0.08516256888607074,0.09542498991065312,256,1216,1602,1306
MNIST,DBM(t-SNE+RBF),8.194646835327148,0.2127828598022461,4.681125164031982,0.37295031547546387,20.1591854095459,0.5527739524841309,0.7,0.5399553030311569,0.03535526832878449,52.5287030701716,0.060247280110543804,0.08581857285178385,0.09761301620410436,256,1160,1302,1214
