Data,PPinv,time near dummy,time near,time grad dummy,time grad,time grad_reduced,time dist dummy,time dist,threshold,error near abs,error near sq,error grad abs,error grad sq,error grad reduced abs,error grad reduced sq,error dist abs,error dist sq,GRID,num_sparse_near,num_sparse_grad,num_sparse_grad_reduced,num_sparse_dist
MNIST,DBM(UMAP+NNInv),0,0,0.07174992561340332,1.0210182666778564,0.1341843605041504,0,0,0.125,0,0,4.333956590156017,0.005159878629474854,5.743137852874515,0.00913533972723252,0,0,100,0,5325,5301,0
MNIST,DBM(UMAP+NNInv),0,0,0.26123833656311035,0.8065690994262695,0.6506030559539795,0,0,0.125,0,0,2.7906696490480973,0.0021255747043970566,3.5645519331797586,0.0035190224400790423,0,0,200,0,27507,28738,0
MNIST,DBM(UMAP+NNInv),0,0,0.6195006370544434,1.364804744720459,0.8979895114898682,0,0,0.125,0,0,2.4072065431148464,0.00155998358365498,2.999368904196765,0.0024529854072337645,0,0,300,0,39078,39643,0
MNIST,DBM(UMAP+NNInv),0,0,1.0326330661773682,1.9587149620056152,1.2284369468688965,0,0,0.125,0,0,2.1569586352128627,0.0012623428010200251,2.5846370602874216,0.001872557506565312,0,0,400,0,44744,46120,0
MNIST,DBM(UMAP+NNInv),0,0,1.6065466403961182,2.6556692123413086,1.369710922241211,0,0,0.125,0,0,2.110006018961565,0.0012356459415195714,2.434797998563649,0.0016070245361523446,0,0,500,0,52597,53562,0
MNIST,DBM(UMAP+NNInv),0,0,2.3932759761810303,3.5593528747558594,1.5577759742736816,0,0,0.125,0,0,2.029115125214986,0.0011427973677779232,2.301205727122944,0.0014835488167312606,0,0,600,0,58560,61407,0
MNIST,DBM(UMAP+NNInv),0,0,2.9770419597625732,4.385296821594238,1.7101082801818848,0,0,0.125,0,0,2.0239130985345413,0.0011667291152197372,2.3002784365874387,0.0014926258508390705,0,0,700,0,66484,67289,0
MNIST,DBM(UMAP+NNInv),0,0,4.332848787307739,5.883941411972046,1.9938592910766602,0,0,0.125,0,0,1.9497982165881982,0.0011080103191227258,2.16983101577055,0.0013639133730168488,0,0,800,0,74835,74914,0
